ID,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
PASV95,0.001494181,0.001769424,0.001651463,0.002241271,0.002595156,0
PASV133,0.002398553,0.002398553,0.001690783,0.002083989,0.003067002,0.001848065
PASV119,0.001690783,0.001612142,0.002634476,0.002437874,0.001769424,0.001100975
PASV151,0.00220195,0.003460208,0.002437874,0.002044668,0.001572822,0.001887386
PASV5568,0.002437874,0,0,0,0,0
PASV115,0.002005348,0.001258257,0.002359232,0.001336898,0.000904372,0.002241271
PASV77,0.001140296,0.00145486,0.001376219,0.001494181,0.001572822,0.001100975
PASV180,0.002083989,0.000471846,0.000983014,0.002123309,0.00145486,0.000943693
PASV132,0.00145486,0.001769424,0.002398553,0.001730104,0.001297578,0.002319912
PASV146,0.001769424,0.001179616,0.001612142,0.002477194,0.001887386,0.001336898
PASV284,0.002516515,0.001022334,0.001140296,0.002044668,0.00220195,0.002044668
PASV94,0.001612142,0.00070777,0.001336898,0.001887386,0.001258257,0.002241271
PASV155,0.001415539,0.001612142,0.000904372,0.001218937,0.00216263,0.001218937
PASV208,0.001651463,0.002870399,0.002005348,0.000983014,0.001730104,0.001100975
PASV120,0.001651463,0.001730104,0.001612142,0.000865052,0.001572822,0.001022334
PASV344,0.001572822,0.001494181,0.001297578,0.002005348,0.002044668,0.002437874
PASV140,0.002831079,0.00216263,0,0.003538849,0.002870399,0.000983014
PASV614,0,0.000825731,0.001297578,0.001258257,0.000511167,0
PASV324,0.001651463,0.002398553,0.002398553,0.003381567,0.003302925,0.001572822
PASV141,0.001808745,0.001533501,0.001690783,0.001769424,0.001926707,0.000629129
PASV2373,0.004443221,0,0,0,0,0.002634476
PASV379,0.00070777,0.003892734,0.003184964,0.00220195,0.003538849,0.001926707
PASV107,0,0,0.003735451,0,0.002949041,0
PASV213,0.000825731,0.001494181,0.001376219,0.00070777,0.000393205,0.003263605
PASV137,0.001494181,0.000786411,0.000983014,0.001218937,0.001808745,0.000825731
PASV189,0.001769424,0.002752438,0.001966027,0.001730104,0.002477194,0.00145486
PASV212,0.001376219,0.001808745,0.001533501,0.001494181,0.001336898,0.001769424
PASV172,0.001769424,0.000825731,0.000904372,0.001297578,0.001258257,0.001100975
PASV117,0.001376219,0.002870399,0.001612142,0.001022334,0,0.001061655
PASV234,0.000786411,0.001218937,0.002044668,0.001218937,0.001769424,0.001297578
PASV125,0.002595156,0.00145486,0.001179616,0.002123309,0.001887386,0.000786411
PASV164,0.001100975,0.001336898,0.002044668,0.001258257,0.00145486,0
PASV163,0.001572822,0.001336898,0.00220195,0.001100975,0.001494181,0.001218937
PASV259,0.001061655,0.002083989,0.002241271,0.000550488,0.001179616,0.002398553
PASV98,0.000629129,0.001140296,0.00220195,0.001415539,0.000825731,0.001061655
PASV311,0.000825731,0,0.001612142,0.00070777,0.000983014,0.002870399
PASV167,0.001730104,0.001336898,0.003027682,0.002280591,0.000904372,0.000943693
PASV437,0.00145486,0.001061655,0.001690783,0.001494181,0.002005348,0.001336898
PASV262,0.001336898,0.001533501,0.000550488,0.002044668,0.001730104,0.001140296
PASV373,0.001651463,0.001690783,0.00074709,0.001572822,0.001297578,0.001179616
PASV124,0.000275244,0.001218937,0.000668449,0.000393205,0.000275244,0.001494181
PASV264,0.001848065,0.001218937,0.002280591,0.00145486,0.000983014,0.000432526
PASV214,0.002359232,0.001258257,0.000943693,0.001966027,0.001926707,0.000983014
PASV299,0.001258257,0.001769424,0.001730104,0.00145486,0.001022334,0.001848065
PASV109,0.001100975,0.001022334,0.001179616,0.001140296,0.001769424,0.000825731
PASV219,0.000314564,0.00145486,0.000904372,0.00145486,0.002949041,0.001140296
PASV270,0.001572822,0.001100975,0.001966027,0.000786411,0.000668449,0.001179616
PASV142,0.001022334,0.000825731,0.000511167,0.000353885,0.001572822,0.001494181
PASV583,0.00145486,0,0,0,0,0.005033029
PASV225,0.000865052,0.001415539,0.001494181,0.001966027,0.001336898,0.00070777
PASV478,0.001336898,0.000865052,0.00074709,0.00074709,0.002673797,0.00074709
PASV230,0.001100975,0.001297578,0.00145486,0.000865052,0.000943693,0.000275244
PASV162,0.000550488,0,0.001769424,0,0,0.001100975
PASV175,0.001140296,0.00074709,0.002123309,0.000314564,0.000314564,0.000943693
PASV386,0.001612142,0.000943693,0.00070777,0.00070777,0.00070777,0.001926707
PASV228,0.000511167,0.001061655,0,0.000668449,0.000393205,0.000589808
PASV223,0.001258257,0.001179616,0,0.002673797,0,0.000786411
PASV2404,0.001572822,0.001808745,0.001730104,0.001769424,0.003145643,0.000825731
PASV320,0.000983014,0.001376219,0.00145486,0.001179616,0.001336898,0.000904372
PASV195,0.000904372,0.000983014,0.001100975,0.001966027,0.000235923,0.001297578
PASV171,0.001022334,0.000943693,0.00074709,0.001100975,0.000550488,0.000511167
PASV3220,0.001966027,0.001926707,0,0.002477194,0,0.002319912
PASV240,0.001218937,0.001730104,0,0,0.001258257,0.000550488
PASV220,0.000471846,0.004050016,0.000786411,0.000589808,0.001376219,0.000511167
PASV226,0.001179616,0.000904372,0.000668449,0.001494181,0.000589808,0.000786411
PASV263,0.000668449,0,0.000865052,0.00074709,0.001376219,0.000629129
PASV297,0.001415539,0.001494181,0.001336898,0.001022334,0.001258257,0.001297578
PASV168,0.000432526,0.000786411,0.000943693,0.001808745,0.000550488,0.000668449
PASV261,0,0,0,0,0,0.002044668
PASV415,0.000904372,0.000943693,0.000511167,0.000904372,0.000393205,0.001769424
PASV1114,0.001140296,0.001376219,0.002005348,0.001061655,0.001612142,0.001887386
PASV210,0.00074709,0.001572822,0.00074709,0.000983014,0.000825731,0.000786411
PASV121,0.001376219,0,0,0.00145486,0,0.001218937
PASV273,0.000393205,0.001100975,0.000668449,0.000432526,0.000235923,0.00070777
PASV239,0.000550488,0.001258257,0.001022334,0.001100975,0.001061655,0
PASV333,0.00074709,0.001494181,0,0.001179616,0.000668449,0.000943693
PASV701,0.000865052,0.001572822,0.001651463,0.002555835,0.001533501,0.000983014
PASV355,0.001100975,0.001494181,0.000983014,0.00074709,0.001061655,0.000550488
PASV475,0.001179616,0.001258257,0.001179616,0.001218937,0.001651463,0.001140296
PASV4085,0,0.002280591,0.002359232,0.003499528,0.000983014,0
PASV498,0.001022334,0.001022334,0.000825731,0.000668449,0.000904372,0.000511167
PASV202,0.000275244,0.00070777,0.000983014,0.000471846,0.000865052,0.000589808
PASV249,0.000235923,0.001218937,0.001218937,0.00145486,0.000314564,0.000471846
PASV152,0,0,0,0,0,0.001730104
PASV314,0.000825731,0.001258257,0.001297578,0.000904372,0.001179616,0.000668449
PASV232,0.00145486,0.000904372,0,0.001533501,0.000629129,0.000393205
PASV643,0.001179616,0.000471846,0,0.002595156,0.000629129,0.002083989
PASV254,0.000668449,0,0.000511167,0.000943693,0.000668449,0.00074709
PASV312,0,0,0,0.00074709,0,0.000865052
PASV209,0,0,0.001415539,0.001022334,0.001061655,0
PASV181,0.000550488,0.001061655,0,0.001336898,0.000865052,0
PASV476,0,0.001887386,0.001061655,0.001218937,0,0.001887386
PASV2429,0,0,0,0,0,0.007431582
PASV376,0.001336898,0,0.000943693,0.002437874,0.000471846,0.000983014
PASV278,0,0,0,0,0.001926707,0.001572822
PASV350,0.000786411,0.000432526,0.000983014,0.000393205,0.000668449,0.000393205
PASV183,0.002398553,0,0,0,0,0.000825731
PASV200,0,0.000432526,0.000943693,0.000589808,0.000668449,0.00074709
PASV399,0.001022334,0.000314564,0,0.001179616,0.000629129,0.000235923
PASV2391,0.000668449,0.001336898,0.000865052,0.000904372,0.001061655,0.000550488
PASV569,0.001140296,0.001926707,0.001415539,0.000943693,0.000825731,0.001100975
PASV358,0.000629129,0.00070777,0.000904372,0,0.000668449,0.001376219
PASV166,0,0.001533501,0.001140296,0.001061655,0,0.000157282
PASV4813,0,0,0,0,0,0.004443221
PASV2387,0.001100975,0,0.000825731,0,0,0.00074709
PASV425,0,0.00074709,0.001376219,0.001769424,0.00145486,0.000943693
PASV158,0.000904372,0.000275244,0.000589808,0.000471846,0.001140296,0.000275244
PASV424,0.000314564,0.00074709,0.001336898,0.001100975,0.000432526,0.000432526
PASV300,0,0.001022334,0,0.000353885,0.00070777,0.001140296
PASV266,0,0.002083989,0,0,0.001100975,0.000668449
PASV363,0.001100975,0.001218937,0,0.000786411,0.000786411,0.000668449
PASV878,0.000865052,0.000511167,0.000589808,0.001140296,0.000314564,0.001022334
PASV332,0.00074709,0.000550488,0.000550488,0.000904372,0.000432526,0.000471846
PASV352,0.000983014,0,0.000943693,0.001808745,0,0
PASV4079,0,0,0.003342246,0,0,0.001572822
PASV506,0.000589808,0.000511167,0.00070777,0.000471846,0.000353885,0.000196603
PASV483,0.000550488,0,0,0,0.000471846,0.001061655
PASV468,0.00070777,0.000432526,0.000904372,0.000235923,0.000432526,0.000353885
PASV438,0.001297578,0,0.001612142,0.000393205,0.001494181,0.001651463
PASV461,0,0.001140296,0.000668449,0.000550488,0.000786411,0.000904372
PASV567,0.000786411,0.000235923,0.000629129,0.001061655,0.000511167,0.000275244
PASV381,0.000275244,0.000235923,0.000786411,0.000393205,0.000353885,0.000393205
PASV283,0.000393205,0.000196603,0.000550488,0.000432526,0.000157282,0.000393205
PASV194,0,0,0,0.001179616,0.001022334,0
PASV591,0.002477194,0,0,0,0.000471846,0
PASV421,0.000550488,0.000432526,0.000432526,0.000393205,0.000471846,0.000589808
PASV549,0.000786411,0.001140296,0,0.000589808,0.000511167,0.000235923
PASV508,0.000393205,0.000157282,0.000393205,0.001100975,0.000589808,0.000275244
PASV349,0.000235923,0.00070777,0.000353885,0.00074709,7.86E-05,0.000904372
PASV408,0.000550488,0.000865052,0,0,0,0.000511167
PASV755,0.000275244,0.000235923,0.000353885,0.000904372,0.00074709,0.00070777
PASV584,0.000550488,0,0.00074709,0.001415539,0.00074709,0.000353885
PASV215,0.000511167,0.000511167,0.000511167,0.000353885,0,0.000235923
PASV335,0.00074709,0.000511167,0,0.001061655,0.000471846,0.000786411
PASV3242,0,0.002516515,0,0,0.002005348,0.000904372
PASV455,0,0.001022334,0,0,0.000550488,0.000275244
PASV306,0.00074709,0,0.001808745,0,0.000589808,0
PASV393,0,0,0,0,0.001966027,0.000471846
PASV568,0.000275244,0.000471846,0.000825731,0.00070777,0.000629129,0
PASV769,0,0.001415539,0,0,0,0
PASV510,0.000471846,0.000629129,0.001061655,0.000550488,0.000314564,0.000629129
PASV235,0.000629129,0,0,0.000786411,0,0
PASV2379,0,0,0,0.000314564,0.000825731,0.001415539
PASV608,0.000432526,0.000432526,0.00074709,0.000157282,0.00074709,0.000196603
PASV539,0.000825731,0.000589808,0.000157282,0.000393205,0.000196603,0.000511167
PASV380,0.000432526,0.00070777,0.000511167,0.000393205,0.000314564,0
PASV685,0,7.86E-05,0,0.00216263,0.000157282,0.000629129
PASV450,0.00070777,0.000393205,0.001022334,0.000904372,0,0.000432526
PASV334,0.000393205,0.000825731,0,0.000511167,0,0.000314564
PASV233,0,0.000589808,0.000275244,0.000275244,0.000393205,0.000471846
PASV378,0.000353885,0.000668449,0.000629129,7.86E-05,0.000117962,0.000511167
PASV505,0.000589808,0.000629129,0.000511167,0.000196603,0.000275244,0.000353885
PASV366,0.000629129,0.000589808,0,0,0.000786411,0.000432526
PASV4078,0,0,0,0,0.001258257,0.001179616
PASV631,0.000904372,0.00074709,0.000668449,0.00074709,0.000786411,0.000865052
PASV348,0,0.000393205,0.000550488,0.000275244,0.000314564,0.000314564
PASV493,0,0.000157282,0,0,0.001022334,0.000235923
PASV808,0.000314564,0.000314564,0.000393205,7.86E-05,0.000275244,0.00220195
PASV522,0.000471846,0.000943693,0.000275244,0.000117962,0.000589808,0.000511167
PASV527,0.00074709,0.000393205,0.000668449,0.000786411,0,0
PASV440,0,0.002044668,0,0,0,0
PASV834,0,0.001336898,0,0,0,0
PASV718,0.001336898,0.000235923,7.86E-05,0.000511167,0.000353885,0
PASV369,0.000550488,0.000668449,0.000235923,0.000275244,0.000511167,0.000275244
PASV594,0.001100975,0,0.000353885,0,0.000511167,0.000471846
PASV456,0,0.000471846,0.000589808,0.00070777,0.000196603,0.000157282
PASV295,0.000983014,0.000235923,0,0.000432526,3.93E-05,0.000275244
PASV866,0.000353885,7.86E-05,0.000668449,0.000511167,0.000471846,0.000353885
PASV610,0.000235923,0.000353885,0,0.00070777,0.000275244,0.000275244
PASV711,0.000432526,0.000550488,0.000235923,0.000786411,0.000393205,7.86E-05
PASV341,0.000786411,0.001140296,0,0,0.000196603,0
PASV548,0,0.000353885,0.000353885,0.000314564,0.000157282,0.000471846
PASV609,0.000629129,0,0.000432526,0.000471846,0.00074709,0.000353885
PASV2384,0,0,0,0.001022334,0.000511167,0
PASV882,0.000235923,0,0.000235923,0.000629129,0.001022334,0.000117962
PASV5560,0.00070777,0.001336898,0,0,0.001140296,0
PASV383,0,0,0.001808745,0,0,0.000471846
PASV595,0.000393205,0.000904372,0.000393205,0.000353885,0.000471846,3.93E-05
PASV442,0.00070777,0,0.001100975,0,0.000471846,0
PASV533,0,0,0.000943693,0,0.001494181,0.000629129
PASV556,0.000235923,0.000432526,0.000275244,0,0.00074709,0.000196603
PASV1025,0.000196603,0,0.000432526,0.000471846,0.000196603,0.000393205
PASV343,0.001061655,0.000904372,0,0,0,0
PASV2419,0.000196603,0,0,0.000157282,0,0.000983014
PASV716,0,0,0.000117962,0.001297578,0,0
PASV679,0.000550488,0.00070777,0.000275244,0.000314564,0.000511167,0.000589808
PASV600,0,0,0.000668449,0.000117962,0,0.000353885
PASV274,0,0,0,0.000511167,0.000511167,0
PASV429,0.000904372,0.000393205,0.000432526,0.000157282,0.001022334,0
PASV536,0,0,0.000589808,0,0.001494181,0.000511167
PASV803,0,0.000393205,0,0.000196603,0.000235923,0.000550488
PASV4817,0,0.00216263,0,0,0,0.00216263
PASV1236,0.001022334,0,0,0.000668449,0.000786411,0.000314564
PASV675,0.001179616,0,0,0.001140296,0.000786411,0.00074709
PASV3213,0.003067002,0,0,0,0,0
PASV3250,0,0.001258257,0.00074709,0.000904372,0.000589808,0
PASV757,0.000668449,0.000275244,0.000511167,0,0.000629129,0.000393205
PASV906,0,0.000353885,0.000314564,0.001061655,0.000235923,0.000275244
PASV439,0,0,0,0.000629129,0.00074709,0
PASV815,0.000393205,0.000275244,0,0,0.00070777,0.000511167
PASV558,0.000157282,0.000275244,0.000550488,0.000865052,0.000196603,0.000235923
PASV434,0.000550488,0.000904372,0,0,0.000235923,0.000235923
PASV532,0.000393205,0.000511167,0,0,0.001140296,0.000393205
PASV2434,0.000589808,0.000393205,0.000314564,0.000157282,0.000825731,0.000511167
PASV943,0.000157282,0.000235923,0.000196603,0.000629129,0.000471846,0
PASV364,0,0.000432526,0,0.000550488,0.000393205,0
PASV384,0.000117962,0.000589808,0,0.000314564,0.000196603,0.000157282
PASV721,0.00070777,0.000353885,0,0.000825731,0.00074709,0
PASV488,0,0.000314564,0,0.000432526,0,0.000629129
PASV4814,0,0.000157282,0,0,0,0.003302925
PASV543,0,0,0,0.001061655,0,0
PASV2756,0,0,0,0.000117962,0.002831079,0
PASV337,0,0,0.001258257,0,0.00070777,0
PASV921,0.000511167,0,0.000393205,0,0.000589808,0.000668449
PASV589,0.000943693,0,0,0,0,0.000786411
PASV405,0,0.00070777,0,0,0.000393205,0
PASV813,0.000511167,0.000275244,0.000589808,0,0.000393205,0
PASV565,7.86E-05,0.00074709,0.000196603,0.000511167,0,0.000275244
PASV781,0.000393205,0.00070777,0.000629129,0,0.000550488,0.000393205
PASV530,0.000589808,0.000471846,0,0,7.86E-05,0.000589808
PASV391,0,0.000235923,0.000235923,0.000196603,0,0.000432526
PASV427,0.000393205,0.000157282,0,0.000353885,0,0.000786411
PASV3223,0.00074709,0.000393205,0,0,0,0.000786411
PASV339,0.001100975,0,0,0,0.000668449,0
PASV2395,0.000589808,0.000235923,0,0.00070777,0,0
PASV644,0.000196603,0.000157282,0.000353885,0.000275244,0.000196603,0.000157282
PASV457,0,0.000550488,0,0.000157282,0.000550488,3.93E-05
PASV8750,0,0.001022334,0,0.002241271,0,0
PASV612,0.000275244,0.000393205,0.000353885,0,0,0
PASV4815,0,0,0,0,0,0.00216263
PASV669,0,0,0,0.001572822,0,0.000314564
PASV607,0.000275244,0.000353885,0,0.000393205,0.000117962,0.000314564
PASV697,0.000235923,0.000629129,0.000196603,7.86E-05,0.000393205,7.86E-05
PASV6370,0.000353885,0,0,0,0.002595156,0
PASV597,0,0,0,0,0.000825731,0.000511167
PASV4821,0,0.000511167,0,0,0,0.000983014
PASV4199,0,0,0.000471846,0,0,0.001572822
PASV2428,0.000275244,0,0,0,0.000589808,0.000589808
PASV518,0.000157282,0.000432526,0.000393205,0,7.86E-05,0.000275244
PASV653,0.000629129,0.000668449,0,0,0.000511167,0.000393205
PASV2432,0.000353885,0,0,0.000157282,0.000865052,0
PASV3237,0,0,0,0,0,0.001730104
PASV4093,0.001258257,0,0,0.000865052,0,0
PASV8748,0,0.003263605,0,0,0,0
PASV3258,0.000589808,0,0.000471846,0,0.000550488,0.000786411
PASV997,0,0,0.000432526,0.000353885,0,0.000393205
PASV516,0,0,0,0,0,0.001218937
PASV570,0.000393205,0.000235923,0.000275244,0.000629129,0,0
PASV935,0.000314564,0.000353885,0.000943693,0,0.000511167,0.000314564
PASV801,0,0.000511167,0,0.00070777,0,0
PASV1503,0,0.000314564,0.000432526,0.000275244,0.000235923,0
PASV636,0.000117962,0.000117962,0.000196603,0.000471846,0.000235923,0.000314564
PASV733,0,0,3.93E-05,0.000314564,0.000117962,0.000943693
PASV724,0.000353885,0,0.000275244,0.000275244,0.000314564,0.000196603
PASV1305,0.000314564,0.001966027,0,0,0.000196603,0
PASV909,0.000629129,0,0,0.000314564,0.000589808,0.000432526
PASV4909,0.000786411,0.000275244,0.000432526,0.00070777,0.000353885,0.000353885
PASV7043,0.000314564,0.001572822,0,0.000825731,0,0
PASV791,0.000314564,0.000825731,0,0,0,0
PASV2390,0,0,0.001218937,0,0,0
PASV6371,0,0,0,0,0.002083989,0
PASV771,0,0,0,0,0,0.001022334
PASV4822,0,0.000157282,0,0,0,0.000983014
PASV2406,0,0,0,0.001218937,0,0.000471846
PASV728,0,0.000471846,0,0.000511167,0,0.00070777
PASV409,0.000196603,0.000904372,0,0,0,0
PASV7513,0,0.001140296,0.001376219,0,0,0
PASV4141,0.000393205,0,0,0.000825731,0,0.000629129
PASV2503,0,0.00145486,0,0,0,0.00070777
PASV4835,0,0.000314564,0,0,0,0.000786411
PASV3295,0,0.000589808,0,0.000983014,0.000353885,0
PASV1423,0.000511167,0,0,0,0.000314564,0.000668449
PASV713,0.000353885,0,0.000196603,0.000157282,0.000314564,0
PASV2780,0.000550488,0.000314564,0,0.000432526,0.00070777,0
PASV541,0,0,0.000904372,0,0.000353885,0
PASV758,0,0,0,0,0.000432526,0.000629129
PASV2418,0,0.000432526,0.000825731,0,0,0
PASV4105,0,0,0,0,0.000393205,0.000825731
PASV2465,0.000393205,0,0,0.000196603,0.000353885,0.000157282
PASV2528,0,0,0.000353885,0.000353885,0.000314564,0
PASV6383,0,0.001494181,0,0,0.000511167,0
PASV832,0,0,0.000275244,0,0.000314564,0.00070777
PASV1047,0.000314564,0.000275244,0.000393205,0.000471846,0,0
PASV4081,0,0.00074709,0,0.000353885,0,0
PASV3298,0,0.000786411,0,0.000865052,0,0
PASV606,0.000825731,0,0,7.86E-05,0,0.000117962
PASV4825,0,0,0,0,0.000668449,0.000786411
PASV2239,0.000157282,0,0,0.001100975,3.93E-05,0
PASV760,0,0.000196603,0.000235923,0,0.000275244,0.000432526
PASV5594,0,0.001297578,0,0,0,0
PASV1091,0.000353885,0.000314564,0,0,0,0.000471846
PASV6372,0,0,0,0,0.001415539,0
PASV2515,0.000629129,0,0,0.000235923,0,0.000393205
PASV826,0,0.000471846,0,0.000196603,0.000235923,0.000353885
PASV2637,0,0.000432526,0,0.001336898,0,0
PASV3468,0.000314564,0.000275244,0,0.000275244,0.000157282,0.000157282
