ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
Protozoa_ASV371,0,0,0.000572984,0,0,0,0,0.002291935,0.000286492,0.000429738,0.000859476,0
Protozoa_ASV207,0.005443346,0.001575705,0.001718951,0.00601633,0.002291935,0.001862197,0.002435181,0.001002722,0.00143246,0.002148689,0.002148689,0.003437903
Protozoa_ASV266,0,0.001002722,0.001718951,0.002291935,0.002005443,0.001002722,0,0.001718951,0.002435181,0.002864919,0,0
Protozoa_ASV224,0.004870362,0.001718951,0.001862197,0.00744879,0.009597479,0.001575705,0.003437903,0.00673256,0.008451511,0.024351812,0.009024495,0.01131643
Protozoa_ASV234,0,0,0.00143246,0,0.001002722,0,0,0.001289214,0.001145968,0,0,0
Protozoa_ASV69,0.005013608,0,0.003867641,0.003581149,0.001575705,0.001002722,0.002721673,0.003581149,0.002291935,0.003008165,0.007878527,0.002578427
Protozoa_ASV838,0.011459676,0,0,0.010027217,0.01131643,0,0.008451511,0.006875806,0.008451511,0.013751612,0.008738003,0.011173184
Protozoa_ASV1870,0,0,0,0,0.000859476,0.001718951,0,0,0,0,0,0.004583871
Protozoa_ASV217,0.001575705,0,0.00143246,0,0,0.000143246,0,0,0,0,0,0
Protozoa_ASV181,0.00143246,0,0.002721673,0.001002722,0.00143246,0.001862197,0.00143246,0.000859476,0,0.001575705,0.002435181,0.003724395
Protozoa_ASV2262,0.006302822,0,0,0,0,0.00071623,0.008165019,0,0,0,0.003437903,0.002005443
Protozoa_ASV987,0.001002722,0.001575705,0,0.001002722,0,0,0,0.000286492,0,0,0.000859476,0
Protozoa_ASV837,0.004870362,0.003437903,0,0.009167741,0.002435181,0,0,0.005586592,0,0,0.012319152,0
Protozoa_ASV239,0.003437903,0.002864919,0.001575705,0.002148689,0.00071623,0.001862197,0.002291935,0.001289214,0.005013608,0.002148689,0.001289214,0.00071623
Protozoa_ASV117,0,0,0.003724395,0,0.002005443,0.002005443,0.003581149,0,0.00143246,0.001862197,0,0.003581149
