	eCO2-1	eCO2-2	eCO2-3	eCO2-4	eCO2-5	eCO2-6
PASV750	0	0	0	0	0	0
PASV4443	0	0	0	0	0.000117962	0.000157282
PASV3248	0	0	0	0	0	0
PASV1117	0	0.000117962	0	0	0	0
PASV3579	0	0.000511167	0	0	0	0
PASV8075	0.000786411	0	0	0	0	0
PASV735	0	0	0	0	0	0
PASV7522	0	0	0.000786411	0	0	0
PASV1430	0.000196603	0	0.000117962	0	0	0
PASV5015	0	0	0	0.000393205	0	0.000157282
PASV2488	0	0	0	0	0	0
PASV5588	0	0	0	0	0	0
PASV7584	0	0.000353885	0.000275244	0	0	0
PASV4939	0	0	0.000353885	0	0	0.000117962
PASV4210	0	0	0	0	0	0
PASV977	0	0	0	0	0	0
PASV1730	0	0.000196603	0	0	0	0
PASV748	0	0	0	0	0	0
PASV881	0	0	0	0	0	0
PASV1490	0	0	0	0.000235923	0	0
PASV1154	0	0	0	0	0	0
PASV1475	0	0	0	0	0	0.000235923
PASV4988	0.000353885	0	0	0	0	0.000157282
PASV6427	0	0	0	0.000235923	0.000157282	0
PASV4200	0	0	0	7.86E-05	0	0.000314564
PASV2517	0	0	0	0.000314564	0	0
PASV853	0	0	0	0	0	0
PASV6967	0	0	0	0	0	0
PASV4308	0.000550488	0	0	0	0	0
PASV4182	0.000235923	0	7.86E-05	0	0	0
PASV4969	0	0	0	0	0	0.000117962
PASV5593	0	0	0	0	0	0
PASV3626	0	7.86E-05	0	0	7.86E-05	0.000157282
PASV5591	0	0	0	0	0	0
PASV9274	0	0	0	0.000668449	0	0
PASV4185	7.86E-05	0.000157282	0	0	7.86E-05	0
PASV6966	0	0	0	0	0	0
PASV2671	0	0	0	0.000157282	0	0
PASV4851	0	0	0	0	0	0.000589808
PASV6388	0	0	0	0	0.000471846	0
PASV1048	0	0	0	0	0	0
PASV1476	0	0	0	0	0	0.000393205
PASV1211	0	0	0	0	7.86E-05	0
PASV1892	0.000157282	0	0	0.000117962	0	0
PASV5589	0	0	0	0	0	0
PASV7524	0	0	0.000589808	0	0	0
PASV3252	0	0	0	0	0	0
PASV2478	0.000117962	0	0	0	0	0
PASV3763	0	0	0	0	3.93E-05	0.000117962
PASV9272	0	0	0	0.000550488	0	0
PASV3381	0	0	0	0	0	7.86E-05
PASV4852	0	0	0	0	0	0.000550488
PASV849	0	0	0	0	0	0
PASV6386	0	0	0	0	0.000471846	0
PASV2531	0	0	0	0.000353885	0	0
PASV2736	0	0	0	0	0	0
PASV1308	0	0	0	0	0	0.000117962
PASV765	0	0	0	0	0	0
PASV5603	0	0	0.000117962	0	0	0
PASV768	0	0	0	0	0	0
PASV8077	0.000629129	0	0	0	0	0
PASV9273	0	0	0	0.000511167	0	0
PASV4848	0	0	0	0	0	0.000471846
PASV3251	0	0	0	0	0	0
PASV8076	0.00074709	0	0	0	0	0
PASV759	0	0	0	0	0	0
PASV1119	0	0	0	0	7.86E-05	0
PASV8766	0	0.000629129	0	0	0	0
PASV3254	0	0	0	0	0	0
PASV4934	0	0	0	0.000314564	0	0.000157282
PASV7586	0	0	0.000275244	0.000235923	0	0
PASV4111	0	0	0	0	0	0
PASV871	0	0	0	7.86E-05	0	0
PASV797	0	0	0	0	0	0
PASV4148	0	0	0.000196603	0	0	0
PASV4209	0	0.000275244	0	0	0	0
PASV3306	0	0.000275244	0	0	0	0
PASV3535	0	0	0	0	0.000353885	0
PASV4854	0	0	0	0	0	0.000432526
PASV3524	0	0	0	0.000196603	0	0.000157282
PASV2920	0	0	0	0	0	0
PASV4110	0	0	0	0	0	0
PASV5377	0	0.000117962	0.000235923	0	7.86E-05	7.86E-05
PASV7687	0	0	0.000157282	0.000353885	0	0
PASV872	0	0	0	0	0	0
PASV1435	0	0	0	0	0	7.86E-05
PASV9277	0	0	0	0.000511167	0	0
PASV5688	0	0.000235923	0	0	0	0
PASV800	0	0	0	0	0	0
PASV3315	0	0	3.93E-05	0	0.000196603	0
PASV6971	0	0	0	0	0	0
PASV949	0	0	0	0	0	0
PASV804	0	0	0	0	0	0
PASV7525	0	0	0.000589808	0	0	0
PASV1172	0	0.000117962	0	0	0	0
PASV3281	0.000157282	0	0	0	0	0
PASV795	0	0	0	0	0	0
PASV4405	0	0	0.000235923	7.86E-05	0	0.000117962
PASV4186	0	0	0	0	0	0.000275244
PASV794	0	0	0	0	0	0
PASV4855	0	0	0	0	0	0.000550488
PASV9275	0	0	0	0.000511167	0	0
PASV2425	0	0	0	0	0	0
PASV789	0	0	0	0	0	0
PASV776	0	0	0	0	0	0
PASV1106	0	0.000117962	0	0	0	0
PASV9276	0	0	0	0.000471846	0	0
PASV6974	0	0	7.86E-05	0	0	0
PASV4903	0	0	0.000275244	0	0	0.000275244
PASV782	0	0	0	0	0	0
PASV4342	0	0.000196603	0.000235923	0	0	0
PASV8078	0.000589808	0	0	0	0	0
PASV4251	0	0	0	0.000314564	0	0
PASV4180	0	0	0	0.000235923	0	0
PASV892	0.000117962	0	0	0	0	0
PASV6970	0	0	0	0	0	0
PASV793	0	0	0	0	0	0
PASV2960	0	0.000196603	0	0	0	3.93E-05
PASV1073	0	0	0	0	0	0
PASV796	0	0	0	0	0	0
PASV5597	0	0	0	0	0	0
PASV3301	0	0	0.000235923	0	0	0
PASV3253	0	0	0	0	0	0
PASV880	0	0	0	0	0	0
PASV4274	0	0	0.000157282	0	0	0
PASV9283	0	0	0	0.000589808	0	0
PASV5599	0	0	0	0	0	0
PASV6391	0	0	0	0	0.000511167	0
PASV836	0	0	0	0	0	0
PASV7652	0.000432526	0	0.000235923	0	0	0
PASV6392	0	0	0	0	0.000471846	0
PASV4276	0	0	0	0	0	0
PASV6979	0	7.86E-05	0	0	0	0
PASV8079	0.000668449	0	0	0	0	0
PASV814	0	0	0	0	0	0
PASV8080	0.000589808	0	0	0	0	0
PASV4924	0	0	0	0	0.000157282	0.000157282
PASV5657	0	0	0	0	0.000275244	0
PASV4165	0	0	0	0	0.000157282	0
PASV3363	0	0	0	0.000117962	0	0.000117962
PASV4116	0	0	0	0	0	0
PASV3260	0	0	0	0	0	0
PASV6390	0	0	0	0	0.000393205	0
PASV7527	0	0	0.000511167	0	0	0
PASV951	0	0.000117962	0	0	0	0
PASV4117	0	0	0	0	0	0
PASV6357	0	0	0	0	0.000275244	0
PASV829	0	0	0	0	0	0
PASV7528	0	0	0.000629129	0	0	0
PASV3259	0	0	0	0	0	0
PASV7671	0	0.000196603	0.000157282	0.000117962	0	0
PASV2064	0	0	0	0	0	0
PASV4376	7.86E-05	0	0	0.000117962	0	0
PASV3507	0	0	0	0	0	0
PASV9281	0	0	0	0.000589808	0	0
PASV4428	0	0	0	0	0	0.000275244
PASV835	0	0	0	0	0	0
PASV4916	0	0	0	0.000275244	0	0.000314564
PASV6973	0	0	0	0	0	0
PASV4856	0	0	0	0	0	0.000550488
PASV2068	0	0	0	0	0.000157282	0.000353885
PASV1024	0	0	0	0	0	0
PASV822	0	0	0	0	0	0
PASV9282	0	0	0	0.000393205	0	0
PASV818	0	0	0	0	0	0
PASV5723	0	7.86E-05	0.000275244	0	0	0
PASV4230	0	0.000314564	0	0	0	0
PASV2032	0.000235923	7.86E-05	0	0	0	0
PASV830	0	0	0	0	0	0
PASV2853	7.86E-05	0	0.000157282	0.000117962	3.93E-05	0
PASV4902	0	0	0.000235923	0	0	0.000235923
PASV4121	0	0	0	0	0	0
PASV3286	0	0	0	0	0	0.000117962
PASV848	0	0	0	0	0	0
PASV6975	0	0	0	0	0	0
PASV5071	0.000235923	0	0.000117962	0	0	0.000117962
PASV854	0	0	0	0	0	0
PASV2873	3.93E-05	0	0	0	0.000235923	0
PASV942	0	0	0	0	0	0
PASV7711	0	0	0.000157282	0.000393205	0	0
PASV4861	0	0	0	0	0	0.000432526
PASV862	0	0	0	0	0	0
PASV7014	0.000235923	0	0	0	0	0
PASV5644	0	0	0	0	0.000157282	0
PASV2534	0	0	0	0	0	0.000235923
PASV5606	0	0	0	0	0	0
PASV3670	0	0	0	0	0.000117962	0.000196603
PASV843	0	0	0	0	0	0
PASV1357	0	0	0.000117962	0	0	0
PASV6419	0	0	0	7.86E-05	0.000196603	0
PASV2520	0	0	0.000235923	0	0	0
PASV5604	0	0	0	0	0	0
PASV3526	0	0	0	0	0	0
PASV5053	0	0.000157282	0	0.000117962	0	0.000117962
PASV5796	0.000117962	0	0	0	0.000157282	0
PASV3268	0	0	0	0	0	0
PASV863	0	0	0	0	0	0
PASV6396	0	0	0	0	0.000511167	0
PASV2439	0	0	0	0	0	0
PASV4119	0	0	0	0	0	0
PASV1304	0.000353885	0	0	0	0	0
PASV864	0	0	0	0	0	0
PASV2438	0	0	0	0	0	0
PASV1321	0	0	0	0	7.86E-05	0
PASV7017	0	0	0.000235923	0	0	0
PASV1603	0	0	0	0	0	0
PASV8770	0	0.000550488	0	0	0	0
PASV8768	0	0.000393205	0	0	0	0
PASV4120	0	0	0	0	0	0
PASV6978	0	0	0	0	0	0
PASV9285	0	0	0	0.000629129	0	0
PASV4565	0	0.000117962	0.000235923	0	0	0
PASV8771	0	0.000432526	0	0	0	0
PASV4162	0	0	0.000196603	0	0	0
PASV2940	0	0	0	0	7.86E-05	0
PASV8083	0.000629129	0	0	0	0	0
PASV850	0	0	0	0	0	0
PASV4371	0	0.000314564	0	0	0	0
PASV4862	0	0	0	0	0	0.000432526
PASV3265	0	0	0	0	0	0
PASV6976	0	0	0	0	0	0
PASV2546	0	0	0	0	0	0
PASV1013	0	0	0	0	0	0
PASV3917	0	0.000157282	0	0	0	0
PASV4946	0	0	0	0.000275244	0	0.000196603
PASV9287	0	0	0	0.000432526	0	0
PASV8087	0.000550488	0	0	0	0	0
PASV6980	0	0	0	0	0	0
PASV884	0	0	0	0	0	0
PASV3416	0	0	0	7.86E-05	0	0
PASV894	0	0	0	0	0	0
PASV5153	0	0	0	0	0.000275244	0.000117962
PASV6510	0	0	0	0	0.000157282	0
PASV3277	0	0	0	0	0	0
PASV6400	0	0	0	0	0.000393205	0
PASV1267	0	7.86E-05	7.86E-05	0	0	0
PASV1153	0	0.000157282	0	0	0	0
PASV1122	0.000235923	0	0	0	0	0
PASV4953	0	0.000196603	0	0	0	0.000235923
PASV8085	0.000511167	0	0	0	0	0
PASV5611	0	0	0	0	0	0
PASV8774	0	0.000471846	0	0	0	0
PASV5684	0	0	0.000235923	0	0	0
PASV5641	0	0	0	0	0	0
PASV1120	0	0	0	0	0	0
PASV2821	0	0	0	0	0	0
PASV8086	0.000550488	0	0	0	0	0
PASV3275	0	0	0	0	0	0
PASV868	0	0	0	0	0	0
PASV877	0	0	0	0	0	0
PASV3488	0	0	0	0	0	0
PASV4128	0	0	0	0	0	0
PASV6981	0	0	0	0	0	0
PASV1174	0	0	0	0	0	0
PASV2772	0	0	0	0	0	0.000393205
PASV6982	0	0	0	0	0	0
PASV4145	0	0	0	0	3.93E-05	0
PASV5608	0	0	0	0	0	0
PASV5701	0	0	0.000117962	3.93E-05	0	0
PASV2036	7.86E-05	0	3.93E-05	0	0	0.000117962
PASV4188	0	0	0.000157282	0	0	0
PASV2446	0	0	0	0	0	0
PASV876	0	0	0	0	0	0
PASV4929	0	0.000196603	0	0	0	0.000235923
PASV3385	0	0	0.000275244	0	0	0
PASV4125	0	0	0	0	0	0
PASV5607	0	0	0	0	0	0
PASV4863	0	0	0	0	0	0.000511167
PASV5708	0	0.000196603	0	0	3.93E-05	0
PASV2449	0	0	0	0	0	0
PASV3334	0	0	0	0	0.000117962	0
PASV1026	0	0	0.000157282	0	0	0
PASV4124	0	0	0	0	0	0
PASV3276	0	0	0	0	0	0
PASV895	0	0	0	0	0	0
PASV2443	0	0	0	0	0	0
PASV5609	0	0	0	0	0	0
PASV1238	0	0	0	0	0	0
PASV3271	0	0	0	0	0	0
PASV2450	0	0	0	0	0	0
PASV8775	0	0.000550488	0	0	0	0
PASV887	0	0	0	0	0	0
PASV2458	0	0	0	0	0	0
PASV8778	0	0.000393205	0	0	0	0
PASV5650	0	7.86E-05	7.86E-05	0	0	0
PASV6405	0	0	0	0	0.000353885	0
PASV929	0	0	0	0	0	0
PASV896	0	0	0	0	0	0
PASV904	0	0	0	0	0	0
PASV6402	0	0	0	0	0.000432526	0
PASV1196	0	0	0	7.86E-05	0.000117962	0
PASV4874	0	0	0	0	0	0.000393205
PASV4136	0	0	0	0	0	0
PASV4135	0	0	0	0	0	0
PASV7533	0	0	0.000471846	0	0	0
PASV8822	0	0.000275244	0	0.000157282	0	0
PASV3278	0	0	0	0	0	0
PASV6564	0	0	0.000314564	0	0.000157282	0
PASV6438	0	0	0	0	0.000314564	0
PASV907	0	0	0	0	0	0
PASV4181	0	0	0	0	0	0
PASV4873	0	0	0	0	0	0.000196603
PASV1099	0	0	0	0	0	0
PASV6406	0	0	0	0	0.000235923	0
PASV4875	0	0	0	0	0	0.000393205
PASV6593	0.000117962	0.000196603	0	0	0.000117962	0
PASV1331	0	0	0	0	0	0
PASV920	0	0	0	0	0	0
PASV1591	0	0	0	0	0	0
PASV927	0	0	0	0	0	0
PASV2460	0	0	0	0	0	0
PASV4870	0	0	0	0	0	0.000432526
PASV5615	0	0	0	0	0	0
PASV9290	0	0	0	0.000393205	0	0
PASV8088	0.000471846	0	0	0	0	0
PASV5612	0	0	0	0	0	0
PASV6491	0	0.000235923	0	0	0.000157282	0
PASV9289	0	0	0	0.000432526	0	0
PASV2455	0	0	0	0	0	0
PASV4872	0	0	0	0	0	0.000353885
PASV4431	0	0	0	0	0	0
PASV4129	0	0	0	0	0	0
PASV2461	0	0	0	0	0	0
PASV1095	0	0	7.86E-05	0	0	0
PASV5613	0	0	0	0	0	0
PASV2456	0	0	0	0	0	0
PASV916	0	0	0	0	0	0
PASV3493	0	0	0	0	0	0
PASV6558	0	0	0	0	7.86E-05	0
PASV6985	0	0	0	0	0	0
PASV905	0	0	0	0	0	0
PASV6984	0	0	0	0	0	0
PASV3319	0	0	0	0	3.93E-05	0
PASV4134	0	0	0	0	0	0
PASV6420	0	0	0	0	0.000393205	0
PASV2507	0	0	0	0	0	0
PASV4423	3.93E-05	0	3.93E-05	0	0	0
PASV6983	0	0	0	0	0	0
PASV4867	0	0	0	0	0	0.000471846
PASV2939	0	0	0	7.86E-05	0.000196603	0
PASV7253	0.000393205	0	0	0	0	0
PASV6403	0	0	0	0	0.000314564	0
PASV5037	0	0	0	0	0	3.93E-05
PASV7534	0	0	0.000353885	0	0	0
PASV6401	0	0	0	0	0.000196603	0
PASV5616	0	0	0	0	0	0
PASV950	0	0	0	0	0	0
PASV1720	0	0	0	0	0	0
PASV4142	0	0	0	0	0	0
PASV5061	0	0	0	0	0	0.000157282
PASV4143	0	0	0	0	0	0
PASV4438	0	0	0	0	0.000117962	0
PASV4291	0	0	0	0.000117962	0	0
PASV2473	0	0	0	0	0	0
PASV1635	0	0.000196603	0	0	0	7.86E-05
PASV6417	0	0	0	0	0.000353885	0
PASV947	0	0	0	0	0	0
PASV1420	0	0	0	0	0	7.86E-05
PASV8780	0	0.000393205	0	0	0	0
PASV6415	0	0	0	0	0.000275244	0
PASV4877	0	0	0	0	0	0.000393205
PASV7536	0	0	0.000471846	0	0	0
PASV5623	0	0	0	0	0	0
PASV1571	0	0	0	0	0	0
PASV1717	0	0	0	0.000196603	0	0
PASV7053	0	0.000196603	0	0	0	0
PASV8781	0	0.000432526	0	0	0	0
PASV6411	0	0	0	0	0.000275244	0
PASV8782	0	0.000393205	0	0	0	0
PASV2468	0	0	0	0	0	0
PASV3284	0	0	0	0	0	0
PASV7538	0	0	0.000393205	0	0	0
PASV933	0	0	0	0	0	0
PASV2467	0	0	0	0	0	0
PASV3767	0	0	0	0	0	0
PASV3545	0	0	0	0.000196603	0	0.000157282
PASV4880	0	0	0	0	0	0.000353885
PASV1179	0	0.000117962	0	0	0	0
PASV4876	0	0	0	0	0	0.000393205
PASV9292	0	0	0	0.000393205	0	0
PASV5619	0	0	0	0	0	0
PASV957	0	0	0	0	0	0
PASV5622	0	0	0	0	0	0
PASV2471	0	0	0	0	0	0
PASV2469	0	0	0	0	0	0
PASV9291	0	0	0	0.000393205	0	0
PASV954	0	0	0	0	0	0
PASV6410	0	0	0	0	0.000393205	0
PASV6500	0	0.000196603	3.93E-05	0	0.000157282	0
PASV6418	0	0	0	0	0.000353885	0
PASV8089	0.000471846	0	0	0	0	0
PASV2472	0	0	0	0	0	0
PASV4879	0	0	0	0	0	0.000314564
PASV4881	0	0	0	0	0	0.000353885
PASV4187	0	0	0	0	0	3.93E-05
PASV6986	0	0	0	0	0	0
PASV3369	0	0.000157282	0	0	0	0
PASV944	0	0	0	0	0	0
PASV4492	0	0	0	7.86E-05	0.000157282	0
PASV5621	0	0	0	0	0	0
PASV959	0	0	0	0	0	0
PASV6413	0	0	0	0	0.000393205	0
PASV958	0	0	0	0	0	0
PASV1136	0	0	0.000157282	0	0	0
PASV8910	0	0.000196603	0	0.000275244	0	0
PASV1280	0.000196603	0	0	0	0	0
PASV7535	0	0	0.000432526	0	0	0
PASV8779	0	0.000314564	0	0	0	0
PASV2792	0	0	0	0	0.000235923	0
PASV962	0	0	0	0	0	0
PASV938	0	0	0	0	0	0
PASV2527	0	0	0.000157282	0	0	0
PASV2809	0	0	0	0	7.86E-05	0
PASV5018	0	0	0	0	0	0.000196603
PASV5629	0	0	0	0	0	0
PASV3296	0	0	0	0	0	0
PASV4151	0	0	0	0	0	0
PASV7548	0	0	0.000353885	0	0	0
PASV1071	0	7.86E-05	0	0	0	0
PASV4890	0	0	0	0	0	0.000393205
PASV6993	0	0	0	0	0	0
PASV5884	0	0	0	0	7.86E-05	0
PASV7547	0	0	0.000432526	0	0	0
PASV2565	0	0	0	0	0	7.86E-05
PASV9295	0	0	0	0.000275244	0	0
PASV3453	0	0	7.86E-05	0	0	0
PASV980	0	0	0	0	0	0
PASV8786	0	0.000432526	0	0	0	0
PASV8093	0.000471846	0	0	0	0	0
PASV2492	0	0	0	0	0	0
PASV8095	0.000393205	0	0	0	0	0
PASV8789	0	0.000471846	0	0	0	0
PASV1365	0	0	0	0	0.000117962	0
PASV4146	0	0	0	0	0	0
PASV8094	0.000471846	0	0	0	0	0
PASV3292	0	0	0	0	0	0
PASV7545	0	0	0.000314564	0	0	0
PASV4149	0	0	0	0	0	0
PASV4473	0	0	0	0	0	0
PASV5778	0	0.000275244	0	0	0	0
PASV3290	0	0	0	0	0	0
PASV3587	0	0	0	0	0.000196603	0
PASV4884	0	0	0	0	0	0.000314564
PASV6425	0	0	0	0	0.000314564	0
PASV4063	0	0	7.86E-05	0	0	0
PASV3299	0	0	0	0	0	0
PASV2493	0	0	0	0	0	0
PASV989	0	0	0	0	0	0
PASV4152	0	0	0	0	0	0
PASV4886	0	0	0	0	0	0.000432526
PASV5624	0	0	0	0	0	0
PASV3291	0	0	0	0	0	0
PASV6421	0	0	0	0	0.000314564	0
PASV4888	0	0	0	0	0	0.000314564
PASV8784	0	0.000471846	0	0	0	0
PASV6429	0	0	0	0	0.000235923	0
PASV5626	0	0	0	0	0	0
PASV8787	0	0.000353885	0	0	0	0
PASV3288	0	0	0	0	0	0
PASV6430	0	0	0	0	0.000196603	0
PASV2790	0	0	0	0	0	0
PASV4887	0	0	0	0	0	0.000314564
PASV6994	0	0	0	0	0	0
PASV7544	0	0	0.000471846	0	0	0
PASV983	0	0	0	0	0	0
PASV998	0	0	0	0	0	0
PASV9294	0	0	0	0.000393205	0	0
PASV8788	0	0.000353885	0	0	0	0
PASV4889	0	0	0	0	0	0.000196603
PASV9296	0	0	0	0.000314564	0	0
PASV7542	0	0	0.000314564	0	0	0
PASV965	0	0	0	0	0	0
PASV2483	0	0	0	0	0	0
PASV2697	0	0	0	0	0	0
PASV7546	0	0	0.000353885	0	0	0
PASV3509	0	0	0	0	0	0
PASV8790	0	0.000353885	0	0	0	0
PASV9293	0	0	0	0.000432526	0	0
PASV2490	0	0	0	0	0	0
PASV4183	0	0	7.86E-05	0	0	0
PASV5630	0	0	0	0	0	0
PASV3425	0	0	0	0	0	0
PASV2703	0	0	0	0.000196603	0	0
PASV2487	0	0	0	0	0	0
PASV8092	0.000471846	0	0	0	0	0
PASV1375	0	0	0	0.000196603	0	0
PASV3297	0	0	0	0	0	0
PASV6428	0	0	0	0	0.000235923	0
PASV1586	0.000117962	0	0	0	0	0
PASV3547	0	0	0	7.86E-05	0.000117962	0
PASV973	0	0	0	0	0	0
PASV8783	0	0.000432526	0	0	0	0
PASV1003	0	0	0	0	0	0
PASV1621	0	0	0	0	0	0.000196603
PASV3289	0	0	0	0	0	0
PASV2501	0	0	0	0	0	0
PASV2774	0	0.000157282	0	0	0	0
PASV7551	0	0	0.000432526	0	0	0
PASV4897	0	0	0	0	0	0.000275244
PASV7554	0	0	0.000314564	0	0	0
PASV5638	0	0	0	0	0	0
PASV3305	0	0	0	0	0	0
PASV8098	0.000393205	0	0	0	0	0
PASV7559	0	0	0.000393205	0	0	0
PASV8795	0	0.000393205	0	0	0	0
PASV4156	0	0	0	0	0	0
PASV3351	0	0	0.000117962	0	0	0
PASV7002	0	0	0	0	0	0
PASV4160	0	0	0	0	0	0
PASV6431	0	0	0	0	0.000196603	0
PASV1034	0	0	0	0	0	0
PASV7553	0	0	0.000353885	0	0	0
PASV6437	0	0	0	0	0.000196603	0
PASV7550	0	0	0.000314564	0	0	0
PASV6999	0	0	0	0	0	0
PASV4893	0	0	0	0	0	0.000275244
PASV2505	0	0	0	0	0	0
PASV1239	0	0.000117962	0	0	0	0
PASV7003	0	0	0	0	0	0
PASV2506	0	0	0	0	0	0
PASV7560	0	0	0.000353885	0	0	0
PASV3395	0	0	0	0	0	0
PASV5976	0	0	0	0	0.000235923	0
PASV3313	0	0	0	0	0	0
PASV1782	0	7.86E-05	0	0	0	0
PASV9081	0	7.86E-05	0	0.000275244	0	0
PASV1134	0	0	0	0	0	0
PASV1363	0	0	0	0	0	0
PASV5640	0	0	0	0	0	0
PASV6433	0	0	0	0	0.000393205	0
PASV3309	0	0	0	0	0	0
PASV1011	0	0	0	0	0	0
PASV7177	0.000275244	0	0	0	0	0
PASV3312	0	0	0	0	0	0
PASV9299	0	0	0	0.000353885	0	0
PASV8099	0.000432526	0	0	0	0	0
PASV1116	0	0	0	0	0	0
PASV1536	0	0	7.86E-05	0	0	0
PASV1518	0	0	0	0	0	0
PASV2591	0	0	0	0	0	0
PASV7555	0	0	0.000432526	0	0	0
PASV7001	0	0	0	0	0	0
PASV3314	0	0	0	0	0	0
PASV4895	0	0	0	0	0	0.000275244
PASV1028	0	0	0	0	0	0
PASV6435	0	0	0	0	0.000196603	0
PASV1452	0	0	0	0	7.86E-05	0
PASV8796	0	0.000196603	0	0	0	0
PASV6436	0	0	0	0	0.000314564	0
PASV2500	0	0	0	0	0	0
PASV3307	0	0	0	0	0	0
PASV1240	0	0	0	0.000117962	0	0
PASV1022	0	0	0	0	0	0
PASV8097	0.000432526	0	0	0	0	0
PASV1053	0	0	0	0	0	0
PASV8096	0.000432526	0	0	0	0	0
PASV1598	7.86E-05	0	0	0	0	0
PASV3311	0	0	0	0	0	0
PASV4163	0	0	0	0	0	0
PASV8791	0	0.000393205	0	0	0	0
PASV1557	0	0	0	0	0	0
PASV1173	0	0	0	0	0	0
PASV4312	0	0	0	0	0.000196603	0
PASV9298	0	0	0	0.000314564	0	0
PASV7558	0	0	0.000393205	0	0	0
PASV8100	0.000393205	0	0	0	0	0
PASV4157	0	0	0	0	0	0
PASV8101	0.000432526	0	0	0	0	0
PASV4161	0	0	0	0	0	0
PASV2499	0	0	0	0	0	0
PASV4901	0	0	0	0	0	0.000196603
PASV3348	0.000117962	0	0	0	0	0
PASV5634	0	0	0	0	0	0
PASV1027	0	0	0	0	0	0
PASV4900	0	0	0	0	0	0.000314564
PASV6434	0	0	0	0	0.000157282	0
PASV6998	0	0	0	0	0	0
PASV3310	0	0	0	0	0	0
PASV4894	0	0	0	0	0	0.000196603
PASV4154	0	0	0	0	0	0
PASV8792	0	0.000393205	0	0	0	0
PASV8794	0	0.000393205	0	0	0	0
PASV5636	0	0	0	0	0	0
PASV1249	0	0	0	7.86E-05	0	0
PASV4164	0	0	0	0	0	0
PASV7557	0	0	0.000275244	0	0	0
PASV1045	0	0	0	0	0	0
PASV2650	0.000196603	0	0	0	0	0
PASV5690	0	0.000117962	0	0	0	0
PASV8797	0	0.000157282	0	0	0	0
PASV3300	0	0	0	0	0	0
PASV6124	0	0	0.000157282	0	0	0
PASV6532	0	0	0.000196603	0	0.000196603	0
PASV1064	0	0	0	0	0	0
PASV8901	0	0.000196603	0	0.000117962	0	0
PASV7573	0	0	0.000235923	0	0	0
PASV8806	0	0.000353885	0	0	0	0
PASV3320	0	0	0	0	0	0
PASV1077	0	0	0	0	0	0
PASV1105	0	0	0	0	0	0
PASV7015	0	0	0	0	0	0
PASV8108	0.000393205	0	0	0	0	0
PASV4177	0	0	0	0	0	0
PASV3324	0	0	0	0	0	0
PASV8803	0	0.000314564	0	0	0	0
PASV5649	0	0	0	0	0	0
PASV4913	0	0	0	0	0	0.000314564
PASV5747	0	0	0	0	7.86E-05	0
PASV5645	0	0	0	0	0	0
PASV5029	0	0	0	0.000117962	0	0.000157282
PASV2715	0	0	0	0	0	0
PASV3321	0	0	0	0	0	0
PASV5643	0	0	0	0	0	0
PASV3511	0	0	0	0	0	0
PASV2738	0	0	0	0	3.93E-05	0
PASV1090	0	0	0	0	0	0
PASV9300	0	0	0	0.000196603	0	0
PASV7653	0	0.000157282	0.000157282	0	0	0
PASV8151	0.000275244	0	0	3.93E-05	0	0
PASV1062	0	0	0	0	0	0
PASV7010	0	0	0	0	0	0
PASV8109	0.000393205	0	0	0	0	0
PASV3325	0	0	0	0	0	0
PASV6486	0	0	0	0	0.000117962	0
PASV7193	0.000117962	7.86E-05	0	0	0	0
PASV7568	0	0	0.000353885	0	0	0
PASV5647	0	0	0	0	0	0
PASV5104	0	0	0	0	0	7.86E-05
PASV1075	0	0	0	0	0	0
PASV1646	0	0	0	0	3.93E-05	0
PASV1086	0	0	0	0	0	0
PASV7009	0	0	0	0	0	0
PASV7006	0	0	0	0	0	0
PASV9302	0	0	0	0.000314564	0	0
PASV8808	0	0.000353885	0	0	0	0
PASV2511	0	0	0	0	0	0
PASV2516	0	0	0	0	0	0
PASV8107	0.000353885	0	0	0	0	0
PASV6441	0	0	0	0	0.000235923	0
PASV1529	0	0	0	0	0	0
PASV9304	0	0	0	0.000393205	0	0
PASV8104	0.000393205	0	0	0	0	0
PASV7647	0.000157282	0	3.93E-05	0	0	0
PASV1729	0	0	0	0	0	0
PASV7575	0	0	0.000393205	0	0	0
PASV7566	0	0	0.000314564	0	0	0
PASV4963	0	7.86E-05	0	0	0	0.000275244
PASV4257	0	0	0.000157282	0	0	0
PASV5067	0	0	0	0	7.86E-05	7.86E-05
PASV4910	0	0	0	0	0	0.000314564
PASV4179	0	0	0	0	0	0
PASV4169	0	0	0	0	0	0
PASV1092	0	0	0	0	0	0
PASV7572	0	0	0.000235923	0	0	0
PASV4919	0	0	0	0	0	0.000314564
PASV1574	0	0	0	0	0	0
PASV2523	0	0	0	0	0	0
PASV3677	0	0	0.000196603	0	0	0
PASV4178	0	0	0	0	0	0
PASV1276	0	0	0	0	0	0
PASV8102	0.000353885	0	0	0	0	0
PASV9303	0	0	0	0.000235923	0	0
PASV9301	0	0	0	0.000393205	0	0
PASV1103	0	0	0	0	0	0
PASV1059	0	0	0	0	0	0
PASV8805	0	0.000235923	0	0	0	0
PASV3331	0	0	0	0	0	0
PASV1089	0	0	0	0	0	0
PASV4167	0	0	0	0	0	0
PASV1634	0	0	0	0	0	0
PASV3316	0	0	0	0	0	0
PASV4918	0	0	0	0	0	0.000353885
