,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6
PASV252,0.00070777,0.001258257,0.001769424,0.000511167,0.002123309,0.00145486
PASV71,0.002949041,0.002437874,0.001415539,0.002634476,0.001690783,0.001966027
PASV149,0.001336898,0.002005348,0.001730104,0.003460208,0.00220195,0.002005348
PASV190,0.001376219,0.001730104,0.001179616,0.001690783,0.001297578,0.000865052
PASV374,0.000471846,0.003067002,0.000943693,0.000904372,0.002673797,0.006684492
PASV165,0.001572822,0,0.003814092,0.001572822,0,0
PASV207,0.001100975,0.00074709,0.001769424,0.002673797,0.001140296,0.002083989
PASV95,0.002555835,0.002359232,0.001612142,0.001533501,0.001376219,0.001769424
PASV133,0.001966027,0.001258257,0.002359232,0,0.001061655,0.001140296
PASV119,0.002044668,0.001376219,0.001258257,0.002949041,0.001533501,0.001848065
PASV151,0.001533501,0.001415539,0.001061655,0.002280591,0.001494181,0.001533501
PASV5568,0,0,0,0.022255426,0.001022334,0
PASV115,0.00220195,0.001848065,0.001690783,0.002949041,0.001533501,0.001848065
PASV77,0.002713117,0.003106323,0,0.001612142,0.001533501,0.003027682
PASV180,0.001494181,0.004482542,0.002752438,0.001140296,0.002319912,0.002831079
PASV132,0.002123309,0.001297578,0.001218937,0.001651463,0.002044668,0.002241271
PASV146,0.001376219,0.001533501,0.001848065,0.00145486,0.002319912,0.002005348
PASV284,0.001140296,0.001808745,0.002241271,0.001572822,0.002083989,0.001808745
PASV94,0.002437874,0.001966027,0.001061655,0.001297578,0.001218937,0.001769424
PASV155,0.001258257,0.002988361,0.002870399,0.001769424,0.00145486,0.001572822
PASV208,0.001179616,0.001808745,0.001494181,0.000786411,0.001966027,0.003224284
PASV120,0.001730104,0.001258257,0.002319912,0.000904372,0.002044668,0.002359232
PASV344,0.000786411,0.001533501,0.001730104,0.003067002,0.001572822,0.001140296
PASV136,0.001612142,0.000904372,0.001415539,0.002280591,0.001572822,0.001966027
PASV140,0.001651463,0.001690783,0,0.00216263,0,0.001848065
PASV614,0.000432526,0.001258257,0.001612142,0.006841774,0,0.00802139
PASV324,0.000825731,0.001100975,0,0.001218937,0.00074709,0.001612142
PASV141,0.001336898,0.001258257,0.001572822,0.001533501,0.001887386,0.002123309
PASV2373,0,0.003460208,0.003932054,0.004050016,0,0.003814092
PASV127,0.002005348,0.002044668,0.002123309,0.001494181,0.000786411,0.002044668
PASV379,0.000471846,0.000825731,0.000589808,0.000786411,0.001022334,0.000393205
PASV107,0.002083989,0.002398553,0,0,0.005740799,0
PASV237,0.001297578,0.003538849,0.001297578,0,0,0
PASV213,0.001179616,0.001376219,0.001022334,0.00361749,0.002634476,0.001297578
PASV137,0.001769424,0.002713117,0.001533501,0.001926707,0.001533501,0.001651463
PASV143,0.001769424,0.00070777,0.002241271,0.001533501,0.00220195,0.001926707
PASV189,0.001179616,0.001848065,0,0.001533501,0.001179616,0
PASV212,0.001415539,0.000668449,0.001494181,0.001769424,0.001494181,0.001887386
PASV172,0.001415539,0.001769424,0.001808745,0.001966027,0.001297578,0.002123309
PASV117,0.001887386,0.001218937,0.001179616,0,0.002634476,0.002083989
PASV234,0.001336898,0.001218937,0.001376219,0.002241271,0.00145486,0.003224284
PASV125,0.001690783,0.00145486,0,0.000943693,0.001100975,0.001572822
PASV164,0.001218937,0.003814092,0.001730104,0.001494181,0.002044668,0
PASV163,0.00145486,0.001769424,0.00145486,0.001179616,0.001022334,0.001376219
PASV259,0.001140296,0.002555835,0.001966027,0,0,0.00290972
PASV98,0.002083989,0.000786411,0.001533501,0.001690783,0.002005348,0
PASV311,0.000786411,0.003067002,0.000589808,0.002123309,0.002359232,0.001336898
PASV167,0.001730104,0.001651463,0,0.000786411,0.001258257,0.001376219
PASV222,0.001022334,0.000629129,0.002280591,0.001022334,0.001336898,0.001218937
PASV437,0.000511167,0.001533501,0.001297578,0.001258257,0.001887386,0.00220195
PASV346,0.00070777,0.001808745,0.00220195,0.001808745,0,0.001258257
PASV262,0.001022334,0.001966027,0.001140296,0.001651463,0.001808745,0.000550488
PASV373,0.00074709,0.001100975,0.001297578,0.001336898,0.001336898,0.002595156
PASV124,0.001612142,0.000943693,0.001336898,0.00290972,0.001533501,0.000904372
PASV174,0.001572822,0.001848065,0.001690783,0.000629129,0.000353885,0.001218937
PASV91,0.003224284,0.000550488,0.001336898,0.000983014,0.00074709,0.000393205
PASV264,0.001297578,0.001415539,0.001336898,0.00070777,0.001022334,0.001848065
PASV214,0.001297578,0.000668449,0.00074709,0.001533501,0.00070777,0
PASV299,0.00070777,0.000983014,0.000983014,0.001218937,0,0.001651463
PASV109,0.001926707,0.002280591,0,0,0,0.001179616
PASV318,0.000943693,0.002752438,0.001494181,0,0.001376219,0.001297578
PASV219,0.001179616,0.001336898,0.001100975,0.000511167,0.000393205,0.000983014
PASV270,0.00070777,0.001690783,0.00074709,0.000629129,0.00220195,0.00074709
PASV142,0.001730104,0.000786411,0.001415539,0.000943693,0.000668449,0.001218937
PASV583,0.000314564,0.000393205,0,0.005622837,0.002673797,0
PASV225,0.001140296,0.002083989,0.000550488,0.000825731,0.000668449,0.000589808
PASV401,0.000550488,0.001415539,0.001612142,0.001061655,0.00070777,0.00216263
PASV478,0.000471846,0,0.004010695,0,0.000904372,0.001612142
PASV230,0.000904372,0.000825731,0.001494181,0.00220195,0.001022334,0.000983014
PASV162,0.00145486,0.001808745,0.001415539,0.002005348,0.001651463,0.001336898
PASV175,0.00145486,0.00074709,0.001100975,0.00145486,0.00074709,0.001690783
PASV386,0.000668449,0.001140296,0.002555835,0.00216263,0,0.001022334
PASV154,0.001651463,0.001022334,0.001179616,0.001572822,0.000904372,0.001022334
PASV290,0.000943693,0.001848065,0.001376219,0.000983014,0.001100975,0.000983014
PASV228,0.001218937,0.00432526,0.001022334,0.001572822,0.000668449,0.000904372
PASV223,0.000983014,0.000904372,0.00070777,0.001258257,0.001376219,0.001336898
PASV2404,0,0.000668449,0,0,0.00074709,0
PASV320,0.000865052,0.001100975,0.000314564,0.000865052,0.000629129,0.001533501
PASV195,0.001022334,0.000629129,0.000786411,0.001100975,0.000629129,0.000943693
PASV246,0.000904372,0.001376219,0.000865052,0.000511167,0.001533501,0.001179616
PASV171,0.001179616,0.000943693,0.001179616,0.000589808,0.001415539,0.00145486
PASV3220,0,0,0.001808745,0.001690783,0,0.001336898
PASV240,0.00145486,0.000786411,0.001966027,0.000943693,0,0.001730104
PASV220,0.000943693,0.001966027,0.000904372,0.000511167,0,0
PASV3230,0,0,0.001100975,0.002044668,0.002516515,0.001022334
PASV519,0.000511167,0.001336898,0.000943693,0.000511167,0.00070777,0.001140296
PASV226,0.001022334,0.000825731,0.00070777,0.000668449,0.001494181,0.001494181
PASV263,0.000904372,0.00070777,0.001415539,0.001258257,0.001297578,0.001218937
PASV297,0.000904372,0.000668449,0.000550488,0.00074709,0.000196603,0.000904372
PASV168,0.001612142,0.000865052,0.000432526,0.001179616,0.000589808,0.001297578
PASV261,0.000943693,0,0.001179616,0.002949041,0.002241271,0.002437874
PASV415,0.000471846,0.000432526,0.000196603,0.002398553,0.001730104,0.00070777
PASV1114,0.000157282,0.000432526,0.000471846,0.000943693,0.000314564,0.00070777
PASV210,0.000511167,0.000353885,0.001022334,0.000865052,0.000393205,0.000825731
PASV121,0.002005348,0.001140296,0.001730104,0.001336898,0,0
PASV242,0.000983014,0.000943693,0.001258257,0.001494181,0,0.00070777
PASV188,0.001022334,0.001376219,0.000865052,0.000983014,0.000825731,0.001297578
PASV302,0.000786411,0.001061655,0.001022334,0.000471846,0.001100975,0.001730104
PASV273,0.000943693,0.001730104,0.000904372,0.000471846,0.00216263,0.001140296
PASV239,0.001297578,0.000865052,0.001100975,0.001376219,0,0.001297578
PASV333,0.000393205,0.000786411,0.001218937,0.001612142,0.001258257,0.000550488
PASV701,0.000314564,0.000629129,0.000157282,0.000629129,0.000393205,0.000589808
PASV355,0.000825731,0.000393205,0.000825731,0.000983014,0.000865052,0.000865052
PASV475,0.000393205,0,0.000511167,0.000668449,0.001336898,0.000668449
PASV4085,0,0,0.001022334,0.001336898,0,0
PASV498,0.000550488,0.000511167,0.001140296,0.000668449,0.001179616,0.001061655
PASV202,0.001258257,0.001336898,0.000589808,0.001140296,0.000393205,0.001140296
PASV249,0.000550488,0.000904372,0.000904372,0.001022334,0.001258257,0
PASV184,0.001258257,0.001022334,0.001061655,0.001022334,0.00070777,0.001022334
PASV152,0.001297578,0,0.00145486,0.001887386,0.002398553,0
PASV329,0.000904372,0.001926707,0,0.00145486,0,0
PASV314,0.000825731,0,0.00074709,0.000865052,0,0.000943693
PASV232,0.001258257,0,0.000786411,0.001258257,0.000786411,0.00074709
PASV643,0.000235923,0.000432526,0.000314564,0.001533501,0.000275244,0.000353885
PASV254,0.000865052,0.000432526,0.000943693,0.001258257,0.001376219,0.001061655
PASV312,0.000825731,0.003302925,0,0.001100975,0.001690783,0.001140296
PASV272,0.000904372,0.00070777,0.00074709,0.001100975,0.000629129,0.000786411
PASV209,0.001022334,0.000943693,0.001061655,0.000668449,0.001612142,0
PASV181,0.001140296,0,0.001179616,0.001336898,0.001297578,0
PASV476,0.000471846,0.002280591,0.001140296,0,0,0
PASV2429,0,0.000550488,0.000589808,0,0,0.001179616
PASV376,0.000393205,0.001179616,0.00070777,0,0.000629129,0.000589808
PASV278,0.00074709,0.00290972,0,0,0.001730104,0
PASV350,0.00070777,0.001140296,0.000629129,0.001140296,0.000904372,0.000943693
PASV267,0.001140296,0.000786411,0.001022334,0.001022334,0,0
PASV183,0.001336898,0.001140296,0.000943693,0,0,0.001769424
PASV200,0.000943693,0.000865052,0.000550488,0.001179616,0.00070777,0.000393205
PASV315,0.000668449,0.002280591,0.002044668,0.001612142,0,0.001494181
PASV399,0.00074709,0.000865052,0.000589808,0.000786411,0.001966027,0.001336898
PASV2391,0,0.000943693,0.001415539,0,0,0.002241271
PASV494,0.000511167,0.001533501,0.001179616,0.000550488,0.00070777,0.001297578
PASV569,0.000196603,0.000157282,0.000196603,0,0.000196603,0.000393205
